page_title,page_path,date,day_of_week_name,landing_page_url,pageviews,unique_pageviews
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/webinars/,13,10
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/,9,9
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/blog/meet-the-team-niall-morris/,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/blog/page/2/,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/webinars/,14,12
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/2020-new-data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/courses/,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/courses/professional-software-development/cost-and-funding/,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/webinars/,3,3
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,/,3,3
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,/glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,/webinars/,2,2
Webinars - CodeClan,/webinars/,2020-04-05,Sunday,/,3,3
Webinars - CodeClan,/webinars/,2020-04-05,Sunday,/courses/programming-with-r/,1,1
Webinars - CodeClan,/webinars/,2020-04-05,Sunday,/webinars/,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/,10,8
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/2020-new-data-analysis/,5,2
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/Edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/Glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/webinars/,4,4
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/,9,7
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/2020-new-data-analysis/,2,2
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/2020-new-short-course/,2,1
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/webinars/,6,6
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/,8,7
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/about-us/,2,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/courses/data-analysis/apply/,3,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/courses/professional-software-development/cost-and-funding/,2,2
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/the-codeclan-experience/a-typical-day/,2,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/webinars/,19,14
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/,7,6
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/2020-new-data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/about-us/,2,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/blog/meet-the-team-katie-jeffree/,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/courses/,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/webinars/,19,12
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/,4,3
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/courses/,1,1
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/events/,1,1
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/webinars/,6,4
Webinars - CodeClan,/webinars/,2020-04-11,Saturday,/,1,1
Webinars - CodeClan,/webinars/,2020-04-11,Saturday,/webinars/,3,3
Webinars - CodeClan,/webinars/,2020-04-12,Sunday,/,3,2
Webinars - CodeClan,/webinars/,2020-04-12,Sunday,/courses/professional-software-development/,2,1
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/,12,11
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/2020-new-managing-software-development-teams/,1,1
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/Edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/webinars/,12,10
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/,15,13
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/courses/,1,1
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/Glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/webinars/,11,10
Webinars - CodeClan,/webinars/,2020-04-15,Wednesday,/,9,9
Webinars - CodeClan,/webinars/,2020-04-15,Wednesday,/about-us/,3,2
Webinars - CodeClan,/webinars/,2020-04-15,Wednesday,/courses/data-analysis/cost-and-funding/,1,1
Webinars - CodeClan,/webinars/,2020-04-15,Wednesday,/webinars/,2,2
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1584633159,2020-03-19,Thursday,/for-employers/graduates-for-hire/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1584633159,2020-04-12,Sunday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1584970506,2020-03-23,Monday,/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585118085,2020-03-25,Wednesday,/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585562676,2020-03-30,Monday,/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585578056,2020-03-30,Monday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585578158,2020-03-30,Monday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585645037,2020-03-31,Tuesday,/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585647757,2020-03-31,Tuesday,/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585753604,2020-04-01,Wednesday,/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585929109,2020-04-03,Friday,/2020-new-data-analysis/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586252676,2020-04-07,Tuesday,/2020-new-data-analysis/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586269278,2020-04-07,Tuesday,/2020-new-short-course/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586421950,2020-04-09,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586431262,2020-04-09,Thursday,/2020-new-data-analysis/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586432823,2020-04-09,Thursday,/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586516409,2020-04-10,Friday,/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586520669,2020-04-10,Friday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586769400,2020-04-13,Monday,/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586775164,2020-04-13,Monday,/2020-new-managing-software-development-teams/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR0DVoAHsDKhn1COx3wbeId2RmyGGwkN6YeEVqGCgzq9SXCFDqyEYFyeEes,2020-03-31,Tuesday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR0YsGs8frnLyu1Q9YQTE3eXZWtcHosku97_KkQWBi4D52UEDUmGKmtO2Yc,2020-03-19,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR1ZjALev-prSz7RnhjJBGjfzgkizKP-nxDt67FrR_reT6hPhIoyhvxwcV8,2020-03-19,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2c7SPZcRR9idpP_kctJRycgeq8RqvgWd1NCJBlfEipulvbgvpscr34WCs,2020-03-19,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,2020-04-12,Sunday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,2020-04-13,Monday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-03-19,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-04-04,Saturday,/webinars/,2,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2Kp5S_h3fYqq1Raha_5Df2c59GWd0VYFmvVdRk0VC6xm8MXHoMu8PRhR4,2020-03-19,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2r8kbtO1UF0vnHKCseYbygeMJ8pXRS6CojbHlqvfugxYfVogu0hyw4CO4,2020-03-19,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR32-YCc_YniV_rWqU5tVzXFlsRdCv44ifR6OM2eFq9LGYLiJ10Hr5uJxdg,2020-03-19,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR3Y8F3G_PruHPZpkS804ypmxUbnDyHXQAC4jCKQoF-jl4b3AYUPjQw6dD4,2020-03-19,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?preview_id=19875&preview_nonce=295af978d6&preview=true,2020-04-10,Friday,/webinars/,1,1
Webinars - CodeClan,/webinars/?preview_id=19875&preview_nonce=55f2ba9986&preview=true,2020-04-03,Friday,/2020-new-data-analysis/,1,1
Webinars - CodeClan,/webinars/?preview_id=19875&preview_nonce=dda609d1fc&preview=true,2020-04-10,Friday,/,1,1
