page_path,date,day_of_week_name,source_medium,source,medium,social_network,has_social_source_referral,pageviews,unique_pageviews
/webinars/,2020-04-04,Saturday,google / organic,google,organic,(not set),No,3,3
/webinars/,2020-04-05,Sunday,google / cpc,google,cpc,(not set),No,4,4
/webinars/,2020-04-05,Sunday,google / organic,google,organic,(not set),No,1,1
/webinars/,2020-04-06,Monday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,2,1
/webinars/,2020-04-06,Monday,ecosia.org / organic,ecosia.org,organic,(not set),No,1,1
/webinars/,2020-04-06,Monday,google / cpc,google,cpc,(not set),No,6,6
/webinars/,2020-04-06,Monday,google / organic,google,organic,(not set),No,5,3
/webinars/,2020-04-06,Monday,gstatic.com / referral,gstatic.com,referral,(not set),No,1,1
/webinars/,2020-04-06,Monday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,1,1
/webinars/,2020-04-06,Monday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,1,1
/webinars/,2020-04-06,Monday,t.co / referral,t.co,referral,Twitter,Yes,2,2
/webinars/,2020-04-06,Monday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,3,1
/webinars/,2020-04-07,Tuesday,(direct) / (none),(direct),(none),(not set),No,2,2
/webinars/,2020-04-07,Tuesday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,5,3
/webinars/,2020-04-07,Tuesday,google / cpc,google,cpc,(not set),No,2,2
/webinars/,2020-04-07,Tuesday,google / organic,google,organic,(not set),No,8,7
/webinars/,2020-04-07,Tuesday,gstatic.com / referral,gstatic.com,referral,(not set),No,1,1
/webinars/,2020-04-07,Tuesday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/,2020-04-08,Wednesday,(direct) / (none),(direct),(none),(not set),No,6,4
/webinars/,2020-04-08,Wednesday,bing / organic,bing,organic,(not set),No,1,1
/webinars/,2020-04-08,Wednesday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,3,1
/webinars/,2020-04-08,Wednesday,digitalworld.net / referral,digitalworld.net,referral,(not set),No,1,1
/webinars/,2020-04-08,Wednesday,facebook.com / referral,facebook.com,referral,Facebook,Yes,2,2
/webinars/,2020-04-08,Wednesday,google / cpc,google,cpc,(not set),No,7,5
/webinars/,2020-04-08,Wednesday,google / organic,google,organic,(not set),No,9,7
/webinars/,2020-04-08,Wednesday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,3,3
/webinars/,2020-04-08,Wednesday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,1,1
/webinars/,2020-04-08,Wednesday,Website Subscribers / email,Website Subscribers,email,(not set),No,4,2
/webinars/,2020-04-09,Thursday,(direct) / (none),(direct),(none),(not set),No,5,4
/webinars/,2020-04-09,Thursday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,5,2
/webinars/,2020-04-09,Thursday,google / cpc,google,cpc,(not set),No,7,6
/webinars/,2020-04-09,Thursday,google / organic,google,organic,(not set),No,3,3
/webinars/,2020-04-09,Thursday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,2,2
/webinars/,2020-04-09,Thursday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,5,2
/webinars/,2020-04-09,Thursday,Website Subscribers / email,Website Subscribers,email,(not set),No,4,3
/webinars/,2020-04-10,Friday,(direct) / (none),(direct),(none),(not set),No,2,2
/webinars/,2020-04-10,Friday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,6,3
/webinars/,2020-04-10,Friday,bing / organic,bing,organic,(not set),No,1,1
/webinars/,2020-04-10,Friday,CodeClan Staff newsletter / email,CodeClan Staff newsletter,email,(not set),No,1,1
/webinars/,2020-04-10,Friday,google / organic,google,organic,(not set),No,1,1
/webinars/,2020-04-10,Friday,gstatic.com / referral,gstatic.com,referral,(not set),No,1,1
/webinars/,2020-04-10,Friday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,1,1
/webinars/,2020-04-11,Saturday,(direct) / (none),(direct),(none),(not set),No,1,1
