page_title,page_path,date,day_of_week_name,url,after_?,pageviews,unique_pageviews
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/blog/data-analysis-course-glasgow-launch/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/courses/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/courses/python-for-developers/,NA,2,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/data-analysis-announcement/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/webinars/,NA,9,8
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/,NA,18,14
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/coronavirus/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/courses/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/Edinburgh/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/webinars/,NA,19,19
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/,NA,7,7
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/,NA,2,2
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/data-analysis/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/professional-software-development/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/webinars/,NA,13,10
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/,NA,9,9
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/blog/meet-the-team-niall-morris/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/blog/page/2/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/courses/professional-software-development/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/webinars/,NA,14,12
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/2020-new-data-analysis/,preview_id=26451&preview_nonce=ce58be89ae&preview=true,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/courses/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/courses/professional-software-development/cost-and-funding/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/glasgow/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/webinars/,NA,3,3
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,/,NA,3,3
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,/glasgow/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,/webinars/,NA,2,2
Webinars - CodeClan,/webinars/,2020-04-05,Sunday,/,NA,3,3
Webinars - CodeClan,/webinars/,2020-04-05,Sunday,/courses/programming-with-r/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-05,Sunday,/webinars/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/,NA,10,8
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/2020-new-data-analysis/,NA,5,2
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/courses/professional-software-development/,NA,1,1
