pageTitle,pagePath,date,dayOfWeekName,previousPagePath,pageviews,uniquePageviews
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/,9,8
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/blog/,1,1
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/courses/data-analysis/,3,3
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/courses/professional-software-development/cost-and-funding/,1,1
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/events/,1,0
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/events/inverness-events/,1,1
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/glasgow/,3,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,(entrance),8,8
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/,3,3
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/about-us/,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/courses/data-analysis/cost-and-funding/,1,0
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/courses/understanding-software-development/,1,0
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/Edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/the-codeclan-experience/a-typical-day/,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/webinars/,4,0
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,(entrance),9,9
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/,8,8
